011,8000ECA90,001120,8006AA910,592571.00
012,8006ADD30,012,8006ADD30,6473.62
020,8006AD530,020,8006AD530,2941.56
00394,8006AF210,0214342,805586EA0,93.85
01231,800B69730,011265,80092AC50,1986.00
01231,800B69730,021414,80093CED0,217.00
03402,80021DAD0,03402,80021DAD0,1858.96
00394,80093BDB0,021414,80092A6C0,64335.00
001277,80092A7D0,011968,800B69E00,473.00
011,800059120,01217,8006AD4E0,60562.00
031811,800A8FCD0,031811,800A8FCD0,4455.63
031813,800A91030,031813,800A91030,295.65
01291,80092A730,01291,80092A730,3975.24
001277,800B999B0,001277,800B999B0,559.19
012,800BA4BE0,01422,800B9BC80,111111.00
01231,800BA4F40,01231,800BA4F40,1190.82
001439,800BBF4A0,001439,800BBF4A0,6683.36
00394,80093BDB0,00394,80093BDB0,14903.78
011968,800B69E00,0110856,80DFEBEE0,282.37
02860,800BA6B40,011222,800BBE6F0,3400.37
020,800952940,020,800952940,21126.92
001638,800A8FE50,001638,800A8FE50,4755.32
011,800BA4C30,0231039,80DE8B440,152.00
031993,800B63C60,031993,800B63C60,3065.41
01231,800BBE260,0261455,817C3BC30,189.60
01422,800BC0E30,0220729,809E507C0,143.65
00349,800BC6CC0,00349,800BC6CC0,4940.92
021414,80092A6C0,0122459,80AE66170,52.12
020,800B99960,008801,80690A9C0,147.63
001277,800BA09D0,001277,800BA09D0,5259.14
032050,800BA59F0,032050,800BA59F0,609.17
001638,800A8FE50,020,800B99960,2863.22
011265,80092AC50,023041,80690A920,53.17
001439,800BBF6C0,0224,800BC0ED0,400.00
01291,800B9BC30,01291,800B9BC30,59713.16
001807,800BBF0C0,011,800BA4C30,19302.00
001807,800BBF0C0,001807,800BBF0C0,7055.95
021566,800BA4CD0,011047,801D8C110,130.39
011701,800BC6AF0,011701,800BC6AF0,1107318.62
001277,800BC93F0,001277,800BC93F0,4400.96
021393,800BDE650,021393,800BDE650,3204.10
011222,800BDD9E0,021566,816C60240,73.59
011495,800BC8570,011495,800BC8570,9944.83
032091,800BCEE60,001277,800BC93F0,1674.05
001439,800BDF9C0,001439,800BDF9C0,4081.72
01217,800BDE6A0,028625,80362AF40,134.62
011265,800BD0DD0,00349,800BC6E90,2672.39
001439,800BC93A0,001439,800BC93A0,6924.15
021393,800BDE650,001120,800BCE950,5329268.00
011265,800BD0DD0,011701,800BDDA30,6645.00
00349,800BC6CC0,01217,800BDE6A0,46720.00
020,800057660,011495,800BC8570,154661.00
0224,800BE1240,0224,800BE1240,2109.57
